 #! Swift/XRT lightcurve of trigger: 31978, name: NGC 5408 X-1
 #! T0 for this burst is Swift MET=229462503.0 s, = 2008 Apr 09 at 19:35:00.294 UT
 #! Data covers 0.3-10 keV
 #! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source count-rate, source error
 #! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 #! For a detailed description of the file, see
 #! http://www.swift.ac.uk/xrt_curves/docs.php
 #! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00031978
#! PC data
#!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg
53658209.952	18000.000	-18000.000	8.911984e-02	1.504879e-02	-1.504879e-02
53694209.952	18000.000	-18000.000	9.763841e-02	1.651025e-02	-1.651025e-02
54018209.952	18000.000	-18000.000	7.330003e-02	6.260405e-03	-6.260405e-03
54306209.952	18000.000	-18000.000	7.517142e-02	7.624252e-03	-7.624252e-03
54630209.952	18000.000	-18000.000	7.450796e-02	7.200793e-03	-7.200793e-03
54954209.952	18000.000	-18000.000	8.415293e-02	7.493839e-03	-7.493839e-03
55134209.952	18000.000	-18000.000	1.042272e-01	2.583176e-02	-2.583176e-02
55170209.952	18000.000	-18000.000	7.805341e-02	7.530041e-03	-7.530041e-03
55494209.952	18000.000	-18000.000	8.150607e-02	7.215486e-03	-7.215486e-03
55782209.952	18000.000	-18000.000	1.061823e-01	8.981343e-03	-8.981343e-03
56142209.952	18000.000	-18000.000	8.956124e-02	1.063076e-02	-1.063076e-02
56178209.952	18000.000	-18000.000	9.552801e-02	1.101912e-02	-1.101912e-02
56718209.952	18000.000	-18000.000	7.766125e-02	1.078244e-02	-1.078244e-02
56754209.952	18000.000	-18000.000	7.403753e-02	7.733714e-03	-7.733714e-03
57042209.952	18000.000	-18000.000	7.697017e-02	6.545782e-03	-6.545782e-03
57366209.952	18000.000	-18000.000	1.114242e-01	8.399319e-03	-8.399319e-03
57546209.952	18000.000	-18000.000	9.585735e-02	1.152227e-02	-1.152227e-02
57582209.952	18000.000	-18000.000	9.797642e-02	1.026470e-02	-1.026470e-02
57942209.952	18000.000	-18000.000	9.160479e-02	9.819682e-03	-9.819682e-03
57978209.952	18000.000	-18000.000	1.091845e-01	2.071863e-02	-2.071863e-02
58230209.952	18000.000	-18000.000	8.991444e-02	6.593044e-03	-6.593044e-03
58518209.952	18000.000	-18000.000	9.324383e-02	7.478121e-03	-7.478121e-03
58770209.952	18000.000	-18000.000	4.602790e-02	5.860678e-03	-5.860678e-03
59130209.952	18000.000	-18000.000	4.313362e-02	5.225219e-03	-5.225219e-03
59454209.952	18000.000	-18000.000	1.153986e-01	9.819182e-03	-9.819182e-03
59742209.952	18000.000	-18000.000	9.137466e-02	7.462151e-03	-7.462151e-03
60318209.952	18000.000	-18000.000	9.006356e-02	7.590092e-03	-7.590092e-03
60570209.952	18000.000	-18000.000	8.106373e-02	1.360690e-02	-1.360690e-02
60606209.952	18000.000	-18000.000	9.627316e-02	1.020129e-02	-1.020129e-02
61002209.952	18000.000	-18000.000	9.450989e-02	1.092955e-02	-1.092955e-02
61254209.952	18000.000	-18000.000	8.854416e-02	7.152584e-03	-7.152584e-03
61542209.952	18000.000	-18000.000	7.114240e-02	1.345466e-02	-1.345466e-02
61578209.952	18000.000	-18000.000	7.510056e-02	8.463853e-03	-8.463853e-03
61866209.952	18000.000	-18000.000	7.169199e-02	1.076148e-02	-1.076148e-02
61902209.952	18000.000	-18000.000	6.977499e-02	1.262146e-02	-1.262146e-02
